id,contact_id,product_id,kajabi_subscription_id,status,amount,currency,billing_cycle,start_date,trial_end_date,cancellation_date,next_billing_date,payment_processor,coupon_code,created_at,updated_at
c22a1dfc-dcb3-4e02-8fc4-89ab18fa5276,3feef3e3-8f89-44cf-9311-2bbb39e4d3ef,,35285761,canceled,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
aa51e987-7d7f-40f4-b620-bdd8b1bb5841,dfa0b190-2fb2-410a-9364-8d10b0277500,,35289382,canceled,$968.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
d0bc233f-5de7-4b90-ab94-0350c00ba23e,2b23ce1f-fd53-453a-85ac-02b81bce7215,,35499064,active,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
cfb84f8a-a954-4add-a032-3330515b4181,10febf51-c6d0-42f3-bfaa-4d9f7596803a,,35814795,canceled,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
0b987166-d8cf-4d91-a804-f067f05d2b00,0927e405-587d-481e-8589-95e79dbdd3c0,,35837493,canceled,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
c2494cbd-38c2-4a6e-bebe-00133fcc940d,bd5cf844-375b-4045-afd5-fab60d39b94d,,36047725,canceled,$44.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
dea95a75-db38-418e-8355-f26991c4fb94,53bff3a8-2ce1-44ce-8323-b132ba05d410,,36052465,canceled,$968.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
65b4cf98-de8a-4cd5-96d4-37a65a342ac5,9762adf7-40f3-40ac-914a-163254f857eb,,36511053,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
f6f16391-b8aa-4715-8e5d-8b11124a2731,94f9c9f5-68b1-429e-a567-f3238030ae85,,36574186,active,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
9cf63d3c-8b17-4eb2-9cc6-90b4f37f8ca4,a30d8747-274f-4884-85fa-a70ca314861b,,37080647,active,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
c4029350-c442-48e8-be32-1bbd584cda46,1e058181-f5c0-4275-896b-aa38d45f8ed5,,37097769,canceled,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
ae5ce8db-16dd-4103-b5ca-599bf68bd28b,94f9c9f5-68b1-429e-a567-f3238030ae85,,37151894,active,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
aff8b7a5-491b-4844-a197-b3a5bc75e798,806a4098-033e-45e4-9585-186a16202663,,37322792,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
18eccf03-ba9d-4af9-aa79-6c77d3187e06,c0e169ab-5493-4819-9615-5aa1ae63f71c,,37577768,canceled,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
457361f7-327b-4ef7-b36d-de10cb3e96d3,b3779a5b-c6c8-4fa8-890f-703ee79216d5,,37951313,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
0687ab59-8086-4788-b2e5-50b78bf48e2d,bab1c687-e72f-4667-943d-d84590abbeac,,38754746,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
457f571e-d22c-4bfe-a1b9-d57eba4dbfe1,f91ee2c3-e2e1-4c63-8644-6eb8c0138094,,40127182,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
a89300e7-5e07-49fa-afe5-e85d759d979f,96445174-aca7-4e40-9470-fbfba9a3c667,,40382673,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
86eea845-95eb-4008-94b9-7bedebeecc87,b05b7bab-0355-4393-b47e-cf73bfd3a6ab,,40534822,active,$44.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
42087a5c-de14-4c21-9d06-8a29cd758cf0,770d3340-4426-4a12-83d4-42ec8a60b9c0,,40614378,active,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
ec419107-a99c-40e8-9094-fa3b4bf325dc,c5776563-4682-4616-a29a-5470ac7bfbe6,,2148321940,active,$968.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
0442e5a8-93a2-4c9f-befb-e1ee90bb3e9c,6a34befa-7afc-432f-a352-a473000415a6,,2148331249,canceled,$44.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
2e6bee47-fad8-453b-96cd-672e13e5d9d5,b8d0e025-9b61-487b-bb9f-24b27f5e6a5c,,2148403790,active,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
17b1acb7-9f99-494c-b01b-a2fc16c8176d,c34a1db2-755a-49ba-8baf-565cc3ee91bb,,2148602253,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
759be0ee-6a19-491d-8ce0-643893bf9895,025aed9f-e8b0-473e-91fd-b354cd2be6d5,,2149373637,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
94e761ea-7789-4477-8d6c-e29ec7b5b894,7425dbd3-a732-42c2-8ed6-db135e5557a7,,2151063448,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
7dd147ab-eb23-4c9a-94a8-0fadf8165b8b,aa0c35c5-9bc8-4db3-9f9c-e19e92d70be6,,2151620983,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
c17a1381-f805-413a-b485-a7a1441ea3e7,653d89b3-fb4a-4295-8707-e873ff1e69e3,,2151735604,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
93ab0a9e-a66f-4c19-a8b7-4d7037512c90,dc76ccad-8648-4c4f-98bf-e3aa9fb5121a,,2151873070,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
5028bc49-9e1d-4ddb-8d6f-253a72ce17bb,f8a1e22a-3c63-481c-abfb-97ebfa84e88e,,2151914810,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
f4a30a7a-8e59-461f-8723-3a98cb6b38aa,c3e45cc2-1ba5-456b-b55f-792596f028ed,,2152314354,canceled,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
7486c1d8-2827-45db-8e26-3d5bb0c8b3a7,a6d4d6a6-dafb-4de6-ab34-7c121cdbe7c3,,2153302012,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
affa12c3-db36-4d60-9993-6eb0219fd9f7,964e0cb7-1fef-44d1-b081-42094a9b2b08,,2153348548,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
eda31833-8e83-44fb-bf7b-50baa366ec7f,b1fa870b-0aba-4534-ad57-1c041ded8447,,2153420908,active,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
5cc8e828-43a0-4699-abe8-f256368a9610,1eb3f32a-d62b-4954-8e13-5b40d9142a66,,2153782157,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
4aefe79c-883b-413c-95fc-d196886a58d4,ee1934e4-ab00-4397-896e-807add777b93,,2153954105,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
8ca53241-22c2-4bac-9975-acf7befdc084,185218ac-e0f2-4e9a-9414-d262d933f235,,2154179538,canceled,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
2288ec71-8f18-41a9-9d9b-47ace0263381,aa873678-bcc5-4416-a59e-238a07fddb30,,2154473041,canceled,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
c90d2185-d875-443e-9593-46393055a1c0,5c42234b-e00a-4080-a7ff-5529557d7130,,2154640860,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
cf9ad660-b76b-4d02-aaad-049b77bd1b18,8aa79227-2021-4608-a7ad-45b1caae16f8,,2155461811,active,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
5e150a71-4ffa-4d9d-bee2-7a93543f631c,5c55c503-8d58-45b8-8ac3-a6ce0d76e8a3,,2156098125,active,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
